# presidents.txt
# Data format: Year,Party (D for Democrat, R for Republican)
# This mapping assigns the entire calendar year to the party in power

1961,D
1962,D
1963,D
1964,D
1965,D
1966,D
1967,D
1968,D
1969,R
1970,R
1971,R
1972,R
1973,R
1974,R
1975,R
1976,R
1977,D
1978,D
1979,D
1980,D
1981,R
1982,R
1983,R
1984,R
1985,R
1986,R
1987,R
1988,R
1989,R
1990,R
1991,R
1992,R
1993,D
1994,D
1995,D
1996,D
1997,D
1998,D
1999,D
2000,D
2001,R
2002,R
2003,R
2004,R
2005,R
2006,R
2007,R
2008,R
2009,D
2010,D
2011,D
2012,D
